,0,1,2,3,4,5,6,7,8
60,6823.46171016,-130246.848882,6272.98180173,-223.416311519,-21722.1940649,40.5928806321,0.0,0.0,71499.2008388
61,70063.8235304,-37430.3271514,12707.4023177,5941.83487078,-17254.5456053,-1815.31124618,0.0,0.0,63054.6344293
62,56423.9918599,-52755.4338176,521.970852125,-20010.6795726,-16634.476165,-11330.2419398,0.0,0.0,54955.930263
63,104038.152388,-122620.556678,5114.84969353,1869.32328978,-19984.6343084,-1249.3062545,0.0,0.0,67226.3276342
64,120823.698279,-115803.054654,3161.44090147,-787.255231593,-20330.335843,8285.30424781,0.0,0.0,62505.7414033
65,127504.072981,-121502.445443,2592.31956161,3747.85238388,-19449.7403935,-1795.68384249,0.0,0.0,75204.6506241
66,6778.15678615,-101338.1636,5830.1040062,-43.0174833655,-20873.4049313,-84.7877287255,0.0,0.0,66577.6485805
67,11845.5295288,-66789.0438809,6812.67950439,115.63328713,-19851.1344241,80.4206488744,0.0,0.0,71739.8199513
68,106214.30904,-78707.9713189,14909.2350674,3349.01571524,-19785.5793151,11131.0961113,0.0,0.0,72439.0732834
69,98037.42309,-105194.118121,6066.44687408,2705.47933471,-19396.6122469,3092.83233018,0.0,0.0,57354.9034781
70,223384.691937,-91307.0382643,137207.748124,263030.022976,-19964.7099432,154312.555295,0.0,0.0,93168.1584534
71,128264.410515,-95871.8215162,14956.2877325,6617.49549069,-17615.3188059,9680.78190543,0.0,0.0,73010.4794794
72,3294.29219299,-82882.8577844,6072.81582334,71.3720594228,-20963.5624215,257.259433534,0.0,0.0,64452.4213987
73,10689.0913845,-82608.199459,6271.94068989,25.2661771866,-17094.5462805,189.47886058,0.0,0.0,64627.9640341
74,6021.88828945,-119742.63826,6216.44034548,191.875514003,-18715.7705235,116.237690981,0.0,0.0,67438.8786511
75,192766.102199,-90216.9092683,54070.8699111,-953.281126541,-18676.8825508,-17908.9402931,0.0,0.0,63186.3420639
76,4093.36159106,8381.31058393,5976.0832578,-313.87076306,-16499.124639,-173.495348325,0.0,0.0,60449.8774243
77,50096.5680929,-50473.6467146,-4502.62352871,-36720.748143,-18092.5637731,-8175.08264604,0.0,0.0,39059.1377328
78,10137.4283668,21345.2122302,6388.61508886,-48.4955483307,-17804.1164021,-113.606962079,0.0,0.0,69641.8433478
79,6660.15471896,-99380.3597935,5985.78865606,141.909133178,-17582.7823142,73.5590930123,0.0,0.0,60902.1147453
80,117119.148805,-6899.52246352,6731.03257949,-2483.45000775,-16149.2586569,2444.29651664,0.0,0.0,61518.2852567
81,77531.176778,-124019.371467,5223.93236089,-15157.0755831,-20042.4369773,2456.66408678,0.0,0.0,69862.2970323
82,2706.90213788,-117957.809976,5597.47140937,-3.54956250299,-21479.4822477,26.9047055468,0.0,0.0,63091.1257485
83,88812.7735782,-101860.01032,6084.04795271,657.790529159,-17934.3811535,-1765.88638325,0.0,0.0,54738.4846231
84,100986.339017,-111819.515059,2276.98844705,5585.0968519,-18734.6991944,4540.93155316,0.0,0.0,52614.4732364
85,3331.74521742,-86959.4119381,5885.32136384,-372.239405518,-16882.3586047,-257.332800475,0.0,0.0,65680.0983801
86,275638.582854,-11356.0141448,67060.7104979,50654.4474449,-18467.1928447,13536.0679473,0.0,0.0,103611.17397
87,83583.0865104,16640.271878,7275.43974106,-1788.90613457,-15463.2917286,-1998.31285392,0.0,0.0,63194.188833
88,79621.8568286,-94956.7070264,5001.12394688,210.964893448,-17844.2655874,174.30937201,0.0,0.0,54449.4852532
